Airfoil: 7037B
Builder: D. Thompson
Comment: clean
1.827   0.0221     9.93
1.937   0.0237    11.47
2.018   0.0270    13.01
300800
2
0.275   0.0605    -4.48
0.415   0.0497    -3.38
Airfoil: LD79
Builder: L. DeWitt
Comment: clean
4
59400
11
-0.361   0.0891    -5.60
-0.186   0.0491    -4.06
0.022   0.0334    -2.52
0.197   0.0261    -1.01
0.450   0.0221     0.58
0.618   0.0193     2.16
0.763   0.0233     3.65
0.899   0.0274     5.17
1.036   0.0246     6.72
1.130   0.0360     8.26
1.191   0.0549     9.76
99600
10
-0.269   0.0582    -4.58
-0.035   0.0391    -3.09
0.177   0.0258    -1.48
0.384   0.0202     0.04
0.538   0.0196     1.62
0.694   0.0179     3.15
0.846   0.0195     4.67
0.975   0.0245     6.16
1.089   0.0322     7.73
1.184   0.0443     9.27
149400
9
-0.252   0.0572    -4.55
-0.029   0.0348    -2.97
0.170   0.0239    -1.51
0.376   0.0190     0.12
0.530   0.0174     1.59
0.729   0.0160     3.16
0.867   0.0179     4.63
0.999   0.0264     6.23
1.110   0.0344     7.75
199200
10
-0.264   0.0575    -4.58
-0.072   0.0370    -3.33
0.187   0.0223    -1.39
0.394   0.0173     0.08
0.556   0.0158     1.59
0.719   0.0143     3.15
0.982   0.0247     6.06
0.990   0.0253     6.22
1.102   0.0340     7.77
1.178   0.0455     9.25
Airfoil: M06GF1
Builder: M. Allen
Comment: gurney flap (h/c = 1.0%)
1
299200
11
0.011   0.0431    -4.45
0.187   0.0290    -2.88
0.400   0.0279    -1.33
0.511   0.0300     0.20
0.663   0.0358     1.77
0.830   0.0350     3.30
1.009   0.0315     4.92
1.159   0.0279     6.35
1.335   0.0242     7.92
1.493   0.0202     9.43
1.638   0.0212    10.94
Airfoil: M665
Builder: L. Spychalla
Comment: clean
4
60600
11
-0.463   0.0444    -5.53
-0.317   0.0246    -3.45
-0.226   0.0204    -2.47
-0.036   0.0148    -0.94
0.028   0.0138     0.59
0.224   0.0196     2.12
0.416   0.0189     3.67
0.522   0.0197     5.18
0.654   0.0230     6.75
0.748   0.0319     8.26
0.845   0.0484     9.79
100000
11
-0.497   0.0497    -5.54
-0.351   0.0271    -4.01
-0.227   0.0186    -2.47
-0.018   0.0117    -0.92
0.051   0.0130     0.59
0.316   0.0130     2.16
0.442   0.0146     3.67
0.562   0.0151     5.19
0.677   0.0190     6.75
0.786   0.0284     8.26
0.881   0.0429     9.80
200900
11
-0.518   0.0526    -5.54
-0.370   0.0249    -4.00
-0.239   0.0157    -2.47
-0.098   0.0109    -0.95
0.122   0.0084     0.58
0.282   0.0093     2.14
0.422   0.0100     3.68
0.617   0.0131     5.87
0.692   0.0171     6.75
0.807   0.0239     8.27
0.899   0.0396     9.81
300500
11
-0.529   0.0539    -5.55
-0.392   0.0243    -4.02
-0.257   0.0137    -2.48
-0.090   0.0108    -0.96
0.075   0.0085     0.59
0.290   0.0081     2.23
0.441   0.0086     3.68
0.576   0.0109     5.23
0.697   0.0152     6.75
0.816   0.0206     8.28
0.920   0.0360     9.80
Airfoil: M685
Builder: L. Spychalla
Comment: clean
4
60000
11
-0.419   0.0424    -5.48
-0.324   0.0290    -4.03
-0.230   0.0214    -2.45
-0.056   0.0159    -0.91
0.116   0.0205     0.64
0.363   0.0226     2.20
0.509   0.0295     3.74
0.630   0.0308     5.26
0.748   0.0272     6.79
0.872   0.0252     8.32
0.921   0.0358     9.84
100400
11
-0.353   0.0264    -4.31
-0.279   0.0203    -2.96
-0.096   0.0135    -1.43
0.193   0.0131     0.15
0.361   0.0146     1.68
0.482   0.0169     3.23
0.606   0.0176     4.75
0.738   0.0176     6.29
0.861   0.0203     7.82
0.929   0.0297     9.33
1.006   0.0416    10.85
200400
11
-0.416   0.0287    -4.79
-0.152   0.0123    -2.32
-0.055   0.0093    -1.40
0.229   0.0099     0.73
0.316   0.0104     1.69
0.518   0.0112     3.85
0.600   0.0116     4.75
0.810   0.0134     7.01
0.825   0.0155     7.37
0.928   0.0249     9.34
0.999   0.0350    10.86
300300
11
-0.400   0.0234    -4.47
-0.207   0.0122    -2.90
-0.127   0.0116    -2.17
0.090   0.0095     0.14
0.326   0.0086     1.68
0.563   0.0095     4.08
0.702   0.0108     5.60
0.813   0.0139     7.12
0.846   0.0170     7.81
0.938   0.0223     9.34
1.028   0.0378    11.52
Airfoil: MA409GF4
Builder: R. Cooney
Comment: gurney flap (h/c = 0.4%)
4
59600
11
-0.237   0.0298    -4.95
-0.128   0.0241    -3.47
0.019   0.0167    -1.99
0.166   0.0153    -0.42
0.333   0.0154     1.11
0.507   0.0188     2.66
0.665   0.0206     4.25
0.808   0.0236     5.75
0.907   0.0332     7.26
1.010   0.0472     8.80
1.062   0.0888    10.33
99700
11
-0.386   0.0619    -5.98
-0.191   0.0249    -4.50
-0.056   0.0185    -3.00
0.070   0.0135    -1.43
0.214   0.0127     0.11
0.427   0.0135     1.65
0.613   0.0142     3.16
0.765   0.0150     4.74
0.884   0.0209     6.30
0.979   0.0302     7.79
1.069   0.0484     9.29
199700
11
-0.346   0.0541    -6.04
-0.163   0.0162    -4.41
-0.008   0.0135    -2.87
0.146   0.0104    -1.37
0.299   0.0084     0.07
0.596   0.0095     2.84
0.625   0.0099     3.14
0.779   0.0127     4.72
0.920   0.0176     6.24
1.030   0.0254     7.79
1.114   0.0426     9.33
299200
11
-0.297   0.0197    -5.99
-0.152   0.0137    -4.54
0.009   0.0119    -2.95
0.171   0.0094    -1.46
0.325   0.0072     0.10
0.478   0.0076     1.65
0.648   0.0092     3.27
0.917   0.0152     6.08
0.941   0.0161     6.37
1.043   0.0231     7.79
1.119   0.0353     9.23
Airfoil: MH32
Builder: J. Tonnesen
Comment: clean
4
59500
11
-0.223   0.0309    -4.26
-0.087   0.0200    -2.25
0.050   0.0141    -0.71
0.187   0.0173     0.75
0.463   0.0218     2.39
0.650   0.0228     3.83
0.791   0.0221     5.45
0.920   0.0227     6.99
1.025   0.0282     8.52
1.109   0.0361    10.03
1.167   0.0525    11.56
99400
11
-0.236   0.0248    -3.82
-0.088   0.0174    -2.26
0.061   0.0142    -0.72
